date,price,monthly,yearly
2005年06月,1.95,-39.8,4.8
2005年05月,3.24,-16.1,17.0
2005年04月,3.86,-6.5,10.9
2005年03月,4.13,-0.2,0.5
2005年02月,4.14,21.1,14.4
2005年1月,3.42,12.9,-6.6
2004年12月,3.03,20.2,-1.6
2004年11月,2.52,12.5,-4.9
2004年10月,2.24,-2.6,-2.6
2004年09月,2.3,5.0,8.5
2004年08月,2.19,19.7,19.7
2004年07月,1.83,-1.6,33.6
2004年06月,1.86,-32.9,22.4
2004年05月,2.77,-20.4,14.5
2004年04月,3.48,-15.3,-3.1
2004年03月,4.11,13.5,2.2
2004年02月,3.62,-1.1,-5.0
2004年1月,3.66,18.8,1.7
2003年12月,3.08,16.2,6.5
2003年11月,2.65,15.2,9.3
2003年10月,2.3,8.5,39.1
2003年09月,2.12,15.8,18.3
2003年08月,1.83,33.6,13.9
2003年07月,1.37,-9.9,27.0
2003年06月,1.52,-37.2,21.3
2003年05月,2.42,-32.6,11.1
2003年04月,3.59,-10.7,4.2
2003年03月,4.02,5.5,-7.9
2003年02月,3.81,5.8,7.4
2003年1月,3.6,29.0,-11.2
